Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Lat","Lon"
"Under the Milky Way","The Long Wall > Summersville Lake (main) > Summersville (Gauley River) Area > The New River Gorge > West Virginia",https://www.mountainproject.com/route/105918478/under-the-milky-way,3.9,-1,Sport,5.11d,1,70,38.24137,-80.84379
"Los Hermanos de la Weenie Way","Penitente - Inner Canyon > Penitente Canyon > San Luis Valley > Colorado",https://www.mountainproject.com/route/105753916/los-hermanos-de-la-weenie-way,3.9,-1,Sport,5.11c,1,,37.84519,-106.28863
"Quarter of a Man","Battle of the Bulge Buttress > Indian Creek > Southeast Utah > Utah",https://www.mountainproject.com/route/105717466/quarter-of-a-man,3.9,-1,Trad,5.11+,1,120,38.03837,-109.54917
"Ginseng Route","-Shagg Crag > Maine",https://www.mountainproject.com/route/106075920/ginseng-route,3.9,-1,Sport,5.12b,1,,44.43277,-70.52743
Tachycardia,"Heart Rock > Heart Rock Area > Maple Canyon Road > Maple Canyon > Central Utah > Utah",https://www.mountainproject.com/route/107669530/tachycardia,3.6,-1,Sport,5.7,3,300,39.5561,-111.6708
Sigma,"Sigma Wall > Robinson Park > Sandstone > Minnesota",https://www.mountainproject.com/route/105912205/sigma,3.9,-1,Sport,5.12a/b,1,60,46.1366,-92.86041
"Heinous Cling Start","(k) The Dihedrals > Smith Rock > Central Oregon > Oregon",https://www.mountainproject.com/route/109930142/heinous-cling-start,3.8,-1,Sport,5.12a,1,,44.3665,-121.14564
"Cocaine Rodeo","Drugs and Sex > Valhalla > Ten Sleep Canyon > Wyoming",https://www.mountainproject.com/route/106818981/cocaine-rodeo,3.8,-1,Sport,5.12a,1,105,44.13665,-107.25768
"Branching Out","The Dungeon > Staunton Rocks > Staunton State Park > South Platte > Colorado",https://www.mountainproject.com/route/112092797/branching-out,3.9,-1,Sport,5.12d,1,80,39.5168,-105.3962
Reptile,"The Brown Wall > Thunder Ridge > West Creek > South Platte > Colorado",https://www.mountainproject.com/route/106125949/reptile,3.9,-1,Trad,5.10,1,50,39.1994,-105.21801
Frogland,"North Face > Whiskey Peak > 16-Black Velvet Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105732398/frogland,3.5,-1,Trad,5.8,6,700,36.03509,-115.46345
Crack-a-Go-Go,"The Cookie Cliff > Aj. Cookie Area > Lower Merced River Canyon > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/105872888/crack-a-go-go,3.9,-1,Trad,"5.11c PG13",1,105,37.71772,-119.71881
"Southwest Arete","Grandma Peabody Boulder > Peabody Boulders > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/105956126/southwest-arete,3.8,-1,"Trad, TR",5.9,1,50,37.32837,-118.57479
"Pear Buttress","J-Crack Slab Area > The Book > Lumpy Ridge > Estes Park Valley > Colorado",https://www.mountainproject.com/route/105748963/pear-buttress,3.6,-1,Trad,5.8,5,,40.40556,-105.53398
"Drop, Fly, or Die","The Spider's Web > B: Chapel Pond Pass > Adirondacks > New York",https://www.mountainproject.com/route/106073694/drop-fly-or-die,3.9,-1,Trad,5.11a,1,80,44.1454,-73.75082
"Pioneer Route","(s) Monkey Face > Smith Rock > Central Oregon > Oregon",https://www.mountainproject.com/route/105791058/pioneer-route,3.5,-1,"Trad, Sport, Aid","5.7 C0",3,250,44.37053,-121.14363
"Cary Granite","The Black Wall > Mt. Evans > Alpine Rock > Colorado",https://www.mountainproject.com/route/105764595/cary-granite,3.8,-1,"Trad, Alpine",5.11c,5,480,39.6064,-105.65409
"Terror of Tiny Town","Buzzard Perch > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105741038/terror-of-tiny-town,3.9,-1,Trad,5.11a/b,1,90,42.08525,-113.72139
"Belle Fourche Buttress","East and Northeast Buttress Approach > Devils Tower > Wyoming",https://www.mountainproject.com/route/105715499/belle-fourche-buttress,3.9,-1,Trad,5.10b,2,150,44.5911,-104.71442
"Red Dihedral (aka ""Yggdrasil"")","Incredible Hulk > 02 - The Sawtooth Ridge > High Sierra > California",https://www.mountainproject.com/route/105852183/red-dihedral-aka-yggdrasil,3.5,-1,"Trad, Alpine",5.10,12,1500,38.12188,-119.41522
Ruper,"Redgarden - Tower One > Redgarden Wall > Eldorado Canyon State Park > Boulder > Colorado",https://www.mountainproject.com/route/105748774/ruper,3.6,-1,Trad,5.8+,6,,39.93194,-105.28603
"The Notch Couloir","Long's Peak/Mt. Meeker Cirque > RMNP - Mixed/Ice > CO Ice & Mixed > Colorado",https://www.mountainproject.com/route/105748837/the-notch-couloir,3.8,-1,"Trad, Mixed, Ice, Snow, Alpine","5.4 AI2 M2-3 Mod. Snow",1,,40.25446,-105.61575
Munsterlander,"Hound Dog Crag > Ten Sleep Canyon > Wyoming",https://www.mountainproject.com/route/107216187/munsterlander,3.9,-1,Sport,5.11c,1,85,44.10033,-107.28463
S-Direct,"The Thumb Area > Little Cottonwood Canyon > Central Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/105740654/s-direct,3.8,-1,Trad,"5.9+ R",7,800,40.5746,-111.7574
"Black and Tan","2. The Main Amphitheater- Fall Wall > The Waterfall > Oak Creek Canyon > Northern Arizona > Arizona",https://www.mountainproject.com/route/105849207/black-and-tan,3.9,-1,Trad,5.10,1,100,34.93186,-111.73298
Rattletale,"Rattletale Wall > Lookout Point Area > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/106204435/rattletale,3.8,-1,Trad,5.10b,3,,47.8243,-121.5613
Genesis,"The Sanctuary > Rifle Mountain Park > Rifle > Colorado",https://www.mountainproject.com/route/106882881/genesis,3.9,-1,Sport,5.12a,1,80,39.70784,-107.69329
Freeform,"Free Form Wall > Sand Gulch > Shelf Road > Canon City > Colorado",https://www.mountainproject.com/route/105752917/freeform,3.9,-1,Sport,5.12a,1,,38.6218,-105.23101
"Wall of the Worlds","2. Central Dome > Calaveras Dome > Calaveras Domes > Carson Pass Highway (88) > Lake Tahoe > California",https://www.mountainproject.com/route/105957970/wall-of-the-worlds,3.9,-1,Trad,"5.10+ PG13",9,,38.48775,-120.2267
"The Ticket","Upper East Face > East Blob > Blob Rock Area > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105756472/the-ticket,3.9,-1,Sport,5.12a,1,,40.00244,-105.38754
"Light My Fire","The Dungeon > Staunton Rocks > Staunton State Park > South Platte > Colorado",https://www.mountainproject.com/route/114441945/light-my-fire,3.8,-1,Sport,5.12a,1,80,39.5168,-105.3962
"Four Sheets to the Wind","Junkyard Wall > Junkyard Area > New River Gorge Proper > The New River Gorge > West Virginia",https://www.mountainproject.com/route/105943666/four-sheets-to-the-wind,3.8,-1,Trad,5.9+,1,75,38.08299,-81.08043
"Mr. Clean","West Face > Devils Tower > Wyoming",https://www.mountainproject.com/route/105715574/mr-clean,3.9,-1,Trad,5.11a,3,500,44.59062,-104.71615
"Hang Fire","2. Fossil Hill Central > Fossil Hill > Lander Area > Wyoming",https://www.mountainproject.com/route/107785140/hang-fire,3.9,-1,Sport,5.12a,1,80,42.71338,-108.84756
"Anti-Jello Crack","Dome Rock > The Needles / Kern River > Western Sierra > California",https://www.mountainproject.com/route/105843997/anti-jello-crack,3.8,-1,Trad,5.10a,4,550,36.06681,-118.52882
Sasquatch,"Pentapitch Area > Little Cottonwood Canyon > Central Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/105739898/sasquatch,3.8,-1,Trad,5.9+,1,,40.56859,-111.73767
Godzilla,"(C) Main Wall, left side > Lower Town Wall > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/105790717/godzilla,3.7,-1,Trad,5.9,1,,47.81847,-121.57139
"1/2 Route","Namaste Wall > South Fork of Taylor > Kolob Canyon > Zion National Park > Southwest Utah > Utah",https://www.mountainproject.com/route/105717895/12-route,3.7,-1,Sport,5.10+,1,80,37.45133,-113.16338
"Uncertainty Principle","Uncertainty Principle Area > Mount Woodson > North San Diego County > San Diego County > California",https://www.mountainproject.com/route/105796563/uncertainty-principle,3.9,-1,TR,5.11c,1,35,33.00533,-116.9666
"Strategic Defense","Morning Glory Spire > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105845604/strategic-defense,3.9,-1,Trad,5.11+,1,95,42.08282,-113.72147
O.D.K.,"Old Aid Wall aka Upper Echelon Wall > Triple Tier Area > Poudre Canyon > Fort Collins > Colorado",https://www.mountainproject.com/route/106737064/odk,3.9,-1,Sport,5.12a,1,85,40.6924,-105.3755
"Triple Overhangs","Summit Wall > Lone Peak Cirque > Central Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/105741389/triple-overhangs,3.8,-1,"Trad, Alpine",5.10a,4,550,40.52645,-111.75527
"In Search Of Suds","Washer Woman > Island In The Sky > Southeast Utah > Utah",https://www.mountainproject.com/route/105717622/in-search-of-suds,3.8,-1,Trad,5.10+,6,,38.39059,-109.83879
Disturbance,"[Redacted] > Beauty Mountain > New River Gorge Proper > The New River Gorge > West Virginia",https://www.mountainproject.com/route/106420023/disturbance,3.9,-1,Sport,5.11d,1,70,38.05372,-81.03333
Directississima,"i. High E > The Trapps > The Gunks > New York",https://www.mountainproject.com/route/105799077/directississima,3.8,-1,Trad,5.10b,2,200,41.74421,-74.179
Skywalker,"Shannon Falls Wall > Shannon Falls > Squamish > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/107198282/skywalker,3.5,-1,Trad,5.8,5,300,49.66932,-123.15753
"Redneck Hero","River Wall II > Longmont Reservoir Area (aka Buttonrock) > North Fork of the St. Vrain River > St. Vrain Canyons > Lyons > Colorado",https://www.mountainproject.com/route/105753994/redneck-hero,3.8,-1,Sport,5.12a,1,70,40.229,-105.34538
"Heinous Cling (Full)","(k) The Dihedrals > Smith Rock > Central Oregon > Oregon",https://www.mountainproject.com/route/105789081/heinous-cling-full,3.8,-1,Sport,5.12c,1,110,44.3665,-121.14564
"The Big Baby","Battle of the Bulge Buttress > Indian Creek > Southeast Utah > Utah",https://www.mountainproject.com/route/105867934/the-big-baby,3.8,-1,Trad,5.11,1,110,38.03837,-109.54917
Culp-Bossier,"Hallett Peak > RMNP - Rock > Alpine Rock > Colorado",https://www.mountainproject.com/route/105763911/culp-bossier,3.6,-1,"Trad, Alpine",5.8+,8,,40.3033,-105.686
"V8 Crack","Cardinal Pinnacle > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/105863051/v8-crack,3.9,-1,Trad,5.10+,1,80,37.22797,-118.59626
"Rosy Crucifixion","Redgarden - Tower Two > Redgarden Wall > Eldorado Canyon State Park > Boulder > Colorado",https://www.mountainproject.com/route/105748777/rosy-crucifixion,3.8,-1,Trad,"5.10a/b PG13",3,,39.9312,-105.28518
"Satisfaction Guaranteed","The Satisfaction Wall > Summersville Lake (main) > Summersville (Gauley River) Area > The New River Gorge > West Virginia",https://www.mountainproject.com/route/105918469/satisfaction-guaranteed,3.8,-1,Sport,5.11a/b,1,65,38.24161,-80.8422
Algorithm,"Upper Division Wall > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/109071600/algorithm,3.9,-1,Sport,5.12b,1,60,40.4323,-111.751
"Moons of Pluto","(q) Mesa Verde Wall > Smith Rock > Central Oregon > Oregon",https://www.mountainproject.com/route/105803003/moons-of-pluto,3.8,-1,Sport,5.10d,1,95,44.36866,-121.14442
"Liberty Crack","Liberty Bell > Liberty Bell Group > Washington Pass > North Cascades > Hwy 20 and North Cascades National Park > Northwest Region > Washington",https://www.mountainproject.com/route/106512297/liberty-crack,3.7,-1,"Trad, Aid, Alpine","5.11a C2",12,1200,48.51548,-120.65874
"The Barb","Spearhead > Glacier Gorge > RMNP - Rock > Alpine Rock > Colorado",https://www.mountainproject.com/route/105750154/the-barb,3.7,-1,"Trad, Alpine",5.10,9,,40.2567,-105.63834
"Not My Cross To Bear","Penitente - Inner Canyon > Penitente Canyon > San Luis Valley > Colorado",https://www.mountainproject.com/route/105753910/not-my-cross-to-bear,3.8,-1,Sport,5.11a/b,1,,37.84519,-106.28863
"Party in My Mind","B) Party Buttress > Endless Wall > New River Gorge Proper > The New River Gorge > West Virginia",https://www.mountainproject.com/route/106039953/party-in-my-mind,3.9,-1,Trad,5.10b,1,90,38.05569,-81.06276
"Desert Shield","Desert Shield Buttress > Zion National Park > Southwest Utah > Utah",https://www.mountainproject.com/route/105717934/desert-shield,3.8,-1,"Trad, Aid","5.11a C3",9,1000,37.27624,-112.94516
"Wartley's Revenge","Christian Brothers - East Side > (l) Christian Brothers > Smith Rock > Central Oregon > Oregon",https://www.mountainproject.com/route/105803545/wartleys-revenge,3.9,-1,Trad,5.11a,3,250,44.36598,-121.14688
Ricochet,"The Winchester Cave > Rifle Mountain Park > Rifle > Colorado",https://www.mountainproject.com/route/105753373/ricochet,3.9,-1,Sport,5.12a,1,85,39.71774,-107.69191
Dreamscape,"Sun Wall > Sand Rock > Alabama",https://www.mountainproject.com/route/105979968/dreamscape,3.8,-1,Sport,5.11c,1,75,34.18041,-85.81555
"Crack Attack","Rad Wall > El Rito Sport Area > El Rito > New Mexico",https://www.mountainproject.com/route/105819879/crack-attack,3.9,-1,Sport,5.12a,1,65,36.39259,-106.19534
O.R.G.asm,"Dihedrals > Upper Gorge > Owens River Gorge > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/105880789/orgasm,3.8,-1,Sport,5.11a,1,90,37.52838,-118.57396
Humanality,"Ladder Routes (Humanality Area) > Tonsai Beach (Freedom Bar Area) > Tonsai Bay > Laem Phra Nang (Railay & Tonsai) > South - Islands & Beaches > Thailand > Asia > International",https://www.mountainproject.com/route/105895220/humanality,3.8,-1,Sport,5.10c/d,5,300,8.0171,98.8341
"Captain Beyond","Mickey Mouse Wall > Eldorado Mountain > Boulder > Colorado",https://www.mountainproject.com/route/105751744/captain-beyond,3.9,-1,Trad,5.10+,5,,39.91977,-105.2853
"The Shaft","Dinosaur Rock > Central > Flatirons > Boulder > Colorado",https://www.mountainproject.com/route/106207686/the-shaft,3.8,-1,"Sport, TR",5.12b,1,90,39.9734,-105.2875
"Days of Heaven","Rock Of Ages > Fern Canyon Rocks > RMNP - Rock > Alpine Rock > Colorado",https://www.mountainproject.com/route/105749047/days-of-heaven,3.8,-1,Trad,5.10d,3,218,40.35209,-105.65432
"Quaker State","The Amphitheater > Moore's Wall (Routes) > Moore's Wall > 3. Piedmont Region > North Carolina",https://www.mountainproject.com/route/106346381/quaker-state,3.9,-1,Trad,5.11a,1,100,36.39969,-80.29077
"Open Book","Finger of Fate > The Sawtooth Range > Central Idaho > Idaho",https://www.mountainproject.com/route/106531483/open-book,3.7,-1,"Trad, Alpine",5.8,5,800,44.0262,-114.96179
"The Line","East Wall > Main Formation > Lover's Leap > Highway 50 Corridor > Lake Tahoe > California",https://www.mountainproject.com/route/105798280/the-line,3.7,-1,Trad,5.9,3,400,38.80261,-120.13204
"Shredded Wheat","Cereal Buttress > Rumbling Bald > 1. Southern Mountains Region > North Carolina",https://www.mountainproject.com/route/105923509/shredded-wheat,3.8,-1,Trad,5.11a,1,90,35.44953,-82.21258
"The Gift","Long Wall > Northern Gorge > Red River Gorge > Kentucky",https://www.mountainproject.com/route/105917897/the-gift,3.9,-1,Sport,5.12a,1,70,37.8446,-83.6686
Grindrite,"Gotham City > Upper Gorge > Owens River Gorge > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/105911420/grindrite,3.9,-1,Sport,5.11b,1,100,37.52751,-118.57443
"Sun Ribbon Arete","Temple Crag > 09 - Palisades & Surrounding Peaks > High Sierra > California",https://www.mountainproject.com/route/105811901/sun-ribbon-arete,3.7,-1,"Trad, Alpine",5.10a,22,2000,37.1096,-118.491
"Plan B","Upper Security Risk > Security Risk Massif > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105749575/plan-b,3.9,-1,Sport,5.12b,1,95,40.0048,-105.3931
"Last Chance","(3) Catwalk Cliff > West Side > (z) Lower Gorge > Smith Rock > Central Oregon > Oregon",https://www.mountainproject.com/route/105809722/last-chance,3.9,-1,Trad,5.10c,1,90,44.36733,-121.13065
"Angel's Crest","The Sheriff's Badge > The Chief > Squamish > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/105847203/angels-crest,3.6,-1,Trad,5.10b,13,,49.686,-123.1415
"Black September","3. Black Wall - Right > Black Wall > Donner Summit > I-80 Corridor > Lake Tahoe > California",https://www.mountainproject.com/route/105981506/black-september,3.8,-1,Trad,5.9,1,110,39.32564,-120.31425
"The Daddy","Amphitheater > Linville Gorge > 2. Northern Mountains Region > North Carolina",https://www.mountainproject.com/route/105883690/the-daddy,3.6,-1,Trad,5.6,5,500,35.871,-81.89291
"Thin Fingers","(D) Narrow Arrow and further right > Lower Town Wall > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/105805741/thin-fingers,3.8,-1,Trad,5.11a,1,120,47.81859,-121.57101
"Willy's Hand Jive","The Island aka Left side of Cabin Wall > Escalante Canyon > Grand Junction Area > Colorado",https://www.mountainproject.com/route/106430020/willys-hand-jive,3.8,-1,Trad,5.10,1,100,38.68003,-108.31657
"Enter the Dragon","Dragon Arch > Little Cottonwood Canyon > Central Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/106613481/enter-the-dragon,3.8,-1,Trad,5.11-,3,300,40.57426,-111.76793
"Wind and Rattlesnakes","F. Rode Hard Wall > The Main Wall > Wild Iris > Lander Area > Wyoming",https://www.mountainproject.com/route/105863211/wind-and-rattlesnakes,3.8,-1,Sport,5.12a,1,65,42.5845,-108.73338
"Salathe (pitch 1)","Moby Dick and Pterodactyl Terrace > Southwest Base > 1. Base Routes > B. El Capitan > Valley North Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/105870703/salathe-pitch-1,3.8,-1,Trad,5.10c,1,160,37.72875,-119.63724
"Coffindaffer's Dream","4. Third Buttress > Upper Meadow > Meadow River Gorge > The New River Gorge > West Virginia",https://www.mountainproject.com/route/108768795/coffindaffers-dream,3.8,-1,Sport,5.11-,1,90,38.14336,-80.91556
"The Moratorium","1. Schultz's Ridge > C. El Cap Picnic Area (Eagle Creek) > Valley North Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/105874604/the-moratorium,3.8,-1,Trad,5.11b,4,,37.72843,-119.62458
"Reed's Pinnacle-Direct Route","Reed's Pinnacle > At. Reed's Pinnacle Area > Lower Merced River Canyon > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/105865301/reeds-pinnacle-direct-route,3.7,-1,Trad,5.10a,3,,37.72439,-119.70063
"The Return of Chris Snyder","Graining Fork Nature Preserve (a.k.a. Roadside Crag) > Natural Bridge Region > Red River Gorge > Kentucky",https://www.mountainproject.com/route/106020821/the-return-of-chris-snyder,3.8,-1,Sport,5.11d,1,100,37.7334,-83.6591
Stanley-Burgner,"Prusik Peak > Stuart-Enchantments > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/105808515/stanley-burgner,3.7,-1,"Trad, Alpine",5.10a,6,500,47.48786,-120.78373
Sparerib,"Sparerib Area > East Side > Gallatin Canyon > Southwest Region > Montana",https://www.mountainproject.com/route/105961561/sparerib,3.8,-1,Trad,5.8,2,225,45.4196,-111.2293
"Frosted Mug","Upper Beer Wall > Beer Walls > B: Chapel Pond Pass > Adirondacks > New York",https://www.mountainproject.com/route/106542971/frosted-mug,3.8,-1,Trad,5.9,1,90,44.14338,-73.75578
EBGB's,"EBGB Block Area > Echo Rock > Echo Rock Area > Central Joshua Tree > Joshua Tree National Park > California",https://www.mountainproject.com/route/105722197/ebgbs,3.8,-1,Trad,5.10d,1,50,34.02443,-116.1557
"The Space Between","The Main Wall > Trout Creek > Central Oregon > Oregon",https://www.mountainproject.com/route/106520615/the-space-between,3.8,-1,Trad,5.10+,1,80,44.80197,-121.10859
"The Great Game","Slhanay > Squamish > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/106228408/the-great-game,3.8,-1,Trad,5.10c/d,4,400,49.6945,-123.12156
"The Regular Route","Standing Rock > Monument Basin > Island In The Sky > Southeast Utah > Utah",https://www.mountainproject.com/route/105717778/the-regular-route,3.8,-1,Trad,5.11c,4,350,38.30083,-109.83734
"Burning Calves","5) Burning Buttress > Beauty Mountain > New River Gorge Proper > The New River Gorge > West Virginia",https://www.mountainproject.com/route/106001499/burning-calves,3.8,-1,Trad,5.10b,1,70,38.05238,-81.03324
Vertigo,"Redgarden - Tower One > Redgarden Wall > Eldorado Canyon State Park > Boulder > Colorado",https://www.mountainproject.com/route/105748771/vertigo,3.8,-1,Trad,5.11b,4,,39.93194,-105.28603
"Made In Japan","Space Wall > Donner Summit > I-80 Corridor > Lake Tahoe > California",https://www.mountainproject.com/route/105735761/made-in-japan,3.9,-1,Sport,5.11a,1,90,39.32331,-120.31591
"Eyeless in Gaza","Main Cliff > Sundown Ledge > WM: Kancamagus (Eastern) > New Hampshire",https://www.mountainproject.com/route/105947830/eyeless-in-gaza,3.8,-1,Sport,5.12b,1,,44.005,-71.2393
"Red Zinger","The Cookie Cliff > Aj. Cookie Area > Lower Merced River Canyon > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/106026258/red-zinger,3.8,-1,Trad,5.11+,1,100,37.71772,-119.71881
"Two Bag Face","3) Workmen's Buttress > Fern Buttress > New River Gorge Proper > The New River Gorge > West Virginia",https://www.mountainproject.com/route/107129358/two-bag-face,3.9,-1,Trad,"5.9 R",1,80,38.06369,-81.06911
"She's the Bosch","Window Rock - West > Window Rock > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105799303/shes-the-bosch,3.8,-1,Sport,5.11c,1,120,42.08533,-113.72273
Candyland,"Middle Spire > Phantom Spires > Highway 50 Corridor > Lake Tahoe > California",https://www.mountainproject.com/route/105875517/candyland,3.8,-1,Trad,5.10c,1,,38.7875,-120.2441
"Last of the Mohicans","Indian Wars Wall > The Mohican > Spearfish Canyon > South Dakota",https://www.mountainproject.com/route/105905537/last-of-the-mohicans,3.9,-1,Sport,5.12a,1,45,44.33171,-103.9001
Voyager,"Fifi Buttress > Q. Leaning Tower Area > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/109039598/voyager,3.7,-1,Trad,5.11c,7,700,37.71073,-119.65013
"Wild at Heart","I. Railroad Rock > A. North Canyon > *Jackson Falls > Illinois",https://www.mountainproject.com/route/106447069/wild-at-heart,3.9,-1,Sport,5.11a,1,,37.50881,-88.69216
"East Buttress","6. Middle Cathedral Rock > P. Cathedral Area > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/105915125/east-buttress,3.6,-1,"Trad, Aid","5.10c A0",11,1100,37.7165,-119.6363
"Hung Like a Horse","Reynolds Hill > Vedauwoo > Wyoming",https://www.mountainproject.com/route/105754141/hung-like-a-horse,3.8,-1,Trad,5.11a,1,,41.17386,-105.35395
"South Ridge","Mt. Superior / Monte Cristo > Wasatch Alpine Areas > Wasatch Range > Utah",https://www.mountainproject.com/route/105984407/south-ridge,3.7,-1,"Trad, Alpine","Easy 5th",1,,40.59001,-111.66633
"The Delicate Sound of Thunder","North Face > Whiskey Peak > 16-Black Velvet Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105732488/the-delicate-sound-of-thunder,3.8,-1,Trad,5.11b,2,200,36.03509,-115.46345
"Cheap Date","The Pages Wall Area > The Book > Lumpy Ridge > Estes Park Valley > Colorado",https://www.mountainproject.com/route/105748960/cheap-date,3.8,-1,Trad,5.10b,1,,40.40597,-105.53441
"Iron Horse","(C) Main Wall, left side > Lower Town Wall > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/105903139/iron-horse,3.8,-1,Trad,5.11d,1,120,47.81847,-121.57139
"Scenic Adult","7. Seven Eleven Wall > Kaymoor > New River Gorge Proper > The New River Gorge > West Virginia",https://www.mountainproject.com/route/106461197/scenic-adult,3.8,-1,Sport,5.11c,1,95,38.05238,-81.07272
Endgame,"End Pinnacle > Rockfellow Group > East Stronghold > Cochise Stronghold > Southern Arizona > Arizona",https://www.mountainproject.com/route/105901424/endgame,3.7,-1,Trad,5.10a/b,5,600,31.92707,-109.97864
"Wicked Gravity","Outhouse Wall > The Back of The Lake > Lake Louise > Banff National Park > Alberta > Canada > North America > International",https://www.mountainproject.com/route/108226533/wicked-gravity,3.8,-1,Sport,5.11a,1,88,51.4076,-116.2405
"Pure Palm","(2) Wildfire Wall > West Side > (z) Lower Gorge > Smith Rock > Central Oregon > Oregon",https://www.mountainproject.com/route/105803570/pure-palm,3.8,-1,Sport,5.11a,1,80,44.36798,-121.13081
"New World Order","J) Snake Buttress > Endless Wall > New River Gorge Proper > The New River Gorge > West Virginia",https://www.mountainproject.com/route/106421307/new-world-order,3.9,-1,Sport,5.12a/b,1,80,38.05474,-81.05704
"The Winsloner","West Side > Winslow Wall > East Clear Creek > Winslow- Hwy’s 87 & 99 Corridors > Northern Arizona > Arizona",https://www.mountainproject.com/route/106180004/the-winsloner,3.8,-1,Sport,5.11c,1,100,34.94209,-110.6632
"Breakfast Burrito","Drive-By Crag > Pendergrass-Murray Recreational Preserve (PMRP) > Red River Gorge > Kentucky",https://www.mountainproject.com/route/106081922/breakfast-burrito,3.7,-1,Sport,5.10c/d,1,80,37.65292,-83.72495
"West Face","Leaning Tower > Q. Leaning Tower Area > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/106187777/west-face,3.6,-1,"Trad, Aid","5.7 C2",11,1000,37.71281,-119.64769
"It's a Good Life","The Alley > Sunset Alley > Beaver Dam Road > Saint George > Southwest Utah > Utah",https://www.mountainproject.com/route/109462236/its-a-good-life,3.8,-1,Sport,5.12b,1,100,37.13323,-113.84403
"Laughing Crack","Wall Area > The Smoke Bluffs > Squamish > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/105959460/laughing-crack,3.5,-1,Trad,5.7,1,75,49.7081,-123.141
"Gunsight to South Peak","South Peak West Face (Main Area) > South Peak - West Face > Seneca Rocks > West Virginia",https://www.mountainproject.com/route/105924140/gunsight-to-south-peak,3.7,-1,Trad,5.4,2,150,38.83453,-79.36677
"Sunset Strip","The Dihedrals > The Chief > Squamish > British Columbia > Canada > North America > International",https://www.mountainproject.com/route/108398190/sunset-strip,3.7,-1,Trad,5.10+,12,,49.6814,-123.1482
"Bishops Terrace","G. Church Bowl > Valley North Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/105872317/bishops-terrace,3.6,-1,Trad,5.8,1,150,37.74908,-119.58015
"Hot Rocks","Rock Hudson > The Outback > Hidden Valley Area > Joshua Tree National Park > California",https://www.mountainproject.com/route/105722113/hot-rocks,3.8,-1,Trad,5.11b/c,1,80,34.02117,-116.1629
"The Prow","The Prow > Paradise Forks > Sycamore Canyon > Northern Arizona > Arizona",https://www.mountainproject.com/route/105795099/the-prow,3.8,-1,Trad,5.11a,1,,35.13763,-112.02421
"Vomit Launch","(f) Cocaine Gully > Smith Rock > Central Oregon > Oregon",https://www.mountainproject.com/route/105789348/vomit-launch,3.8,-1,Sport,5.11b,1,,44.36719,-121.14307
Dracula,"(6) Bat Wall > Broughton Bluff > Portland & The Gorge > Oregon",https://www.mountainproject.com/route/106010112/dracula,3.8,-1,Sport,5.12a,1,65,45.53901,-122.37472
"Touchstone Wall","Cerberus Gendarme > Zion National Park > Southwest Utah > Utah",https://www.mountainproject.com/route/105717787/touchstone-wall,3.6,-1,"Trad, Aid","5.10- C2",8,820,37.27435,-112.94437
